strip name,Section,Part,Side,front/rear,strip ID,length inches,length LEDs,Start LED,End LED,Installed,X LEDs per Y inches,"Cut, wired sealed tested",Installed,Anchored Placement,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Horn upper R,Upper,Head,R,Rear,0,18,27,0,27,,Zones,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Horn upper L,Upper,Head,L,Rear,1,18,27,28,55,,Center,TRUE,TRUE,FALSE,Section,COUNTA of strip name,SUM of length LEDs,MIN of Start LED,MAX of End LED,,,strip name,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nose Right,,,,Nose,3,99,101,202,,Part,Side,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED
0,BigHornUpperR,27,0,"{""id"":",,,,,,,Front,,,,Grand Total,14,309,0,322,,Chin,L,,,,,,,,,,,,,,,,,,,,,231,258,,,,,,
1,BigHornUpperL,27,28,",""start"":",,,,,,,Front Center,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,203,230,,,,,,,,
2,SmallUpperHornR,12,56,",""stop"":",,,,,,,Front Left,,,,,,,,,,Head,C,,,,,,,,,,,,,,,,,,,,,,,82,100,,,,
3,SmallUpperHornL,12,69,",""stop"":",,,,,,,Front Right,,,,,,,,,,,L,,,69,81,,,,,,,,,,,,,,,,,,,,,,,28,55
4,CenterRearUpper,18,82,",""grp"":1,""spc"":0,""of"":0,""on"":true,""bri"":255,""cct"":127,""n"":""",,,,,,,Rear,,,,,,,,,,,R,56,68,,,,,,,,,,,,,,,,,,,,,,,0,27,,
5,NoseLowerR,33,101,""",""col"":[[0,0,0],[0,0,0],[0,0,0]],""fx"":38,""sx"":165,""ix"":95,""pal"":55,""sel"":true,""rev"":false,""mi"":false},",,,,,,,Rear Center,,,,,,,,,,Jaw,L,,,,,,,,,,,,,310,322,,,278,296,,,,,,,,,,
6,NoseLowerL,33,135,,,,,,,,Rear Left,,,,,,,,,,,R,,,,,,,,,,,297,309,,,259,277,,,,,,,,,,,,
7,NoseUpperCenter,33,169,,,,,,,,Rear Right,,,,,,,,,,Nose,C,,,,,169,202,,,,,,,,,,,,,,,,,,,,,,
8,LowerJawR,27,203,,,,,,,,,,,,,,,,,,,L,,,,,,,,,135,168,,,,,,,,,,,,,,,,,,
9,LowerJawL,27,231,,,,,,,,,,,,,,,,,,,R,,,,,,,101,134,,,,,,,,,,,,,,,,,,,,
10,LowerLargeHornR,18,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LowerLargeHornL,18,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LowerSmallHornR,12,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LowerSmallHornL,12,310,,,,,,,,,,,,,,,,,,,,strip ID,Values,,,,,,,,,,,,,,,,,,,,,,,,,,
orig JSON,"{""id"":STIPNUM,""start"":X,""stop"":Y,""grp"":1,""spc"":0,""of"":0,""on"":true,""bri"":255,""cct"":127,""n"":""STRIPNAME"",""col"":[[0,0,0],[0,0,0],[0,0,0]],""fx"":38,""sx"":165,""ix"":95,""pal"":55,""sel"":true,""rev"":false,""mi"":false}",,,,,,,,,,,,,,,,,,,,,,0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,
First Strip Def,"{""id"":0,""start"":0,""stop"":27,""grp"":1,""spc"":0,""of"":0,""on"":true,""bri"":255,""cct"":127,""n"":""BigHornUpperR"",""col"":[[0,0,0],[0,0,0],[0,0,0]],""fx"":38,""sx"":165,""ix"":95,""pal"":55,""sel"":true,""rev"":false,""mi"":false},",,,,,,,,,,,,,,,,,,,,front/rear,Side,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED
